Sector number,Name,Unit,Region,DR_WEOH_impact_(DALYper$),TR_WEOH_impact_(DALYper$)
89,Photographic and photocopying equipment manufacturing,USA,America,4.20E-08,6.11E-08
90,Other commercial and service industry machinery manufacturing,USA,America,2.79E-08,4.92E-08
91,Heating equipment (except warm air furnaces) manufacturing,USA,America,1.49E-08,3.98E-08
92,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",USA,America,8.57E-09,3.37E-08
93,Industrial and commercial fan and blower and air purification equipment manufacturing,USA,America,2.53E-08,5.28E-08
94,Industrial mold manufacturing,USA,America,4.74E-08,7.09E-08
95,"Special tool, die, jig, and fixture manufacturing",USA,America,8.70E-08,1.08E-07
96,Machine tool manufacturing,USA,America,4.10E-08,6.68E-08
97,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",USA,America,5.89E-08,8.03E-08
98,Turbine and turbine generator set units manufacturing,USA,America,6.15E-09,3.36E-08
99,"Speed changer, industrial high-speed drive, and gear manufacturing",USA,America,1.33E-08,3.84E-08
100,Mechanical power transmission equipment manufacturing,USA,America,2.06E-08,4.35E-08
101,Other engine equipment manufacturing,USA,America,5.14E-09,4.53E-08
102,Air and gas compressor manufacturing,USA,America,1.81E-08,4.54E-08
103,Pump and pumping equipment manufacturing,USA,America,1.32E-08,4.00E-08
104,Material handling equipment manufacturing,USA,America,2.12E-08,4.66E-08
105,Power-driven handtool manufacturing,USA,America,2.34E-08,4.90E-08
106,Packaging machinery manufacturing,USA,America,1.08E-08,3.22E-08
107,Industrial process furnace and oven manufacturing,USA,America,5.74E-08,8.35E-08
108,Other general purpose machinery manufacturing,USA,America,2.28E-08,4.85E-08
109,Fluid power process machinery,USA,America,1.62E-08,3.85E-08
110,Electronic computer manufacturing,USA,America,1.74E-08,2.28E-08
111,Computer storage device manufacturing,USA,America,1.23E-08,2.30E-08
112,Computer terminals and other computer peripheral equipment manufacturing,USA,America,1.62E-08,2.99E-08
113,Telephone apparatus manufacturing,USA,America,8.65E-09,1.59E-08
114,Broadcast and wireless communications equipment,USA,America,4.55E-09,1.22E-08
115,Other communications equipment manufacturing,USA,America,1.06E-08,2.19E-08
116,Semiconductor and related device manufacturing,USA,America,7.06E-09,1.40E-08
117,Printed circuit assembly (electronic assembly) manufacturing,USA,America,5.76E-09,1.93E-08
118,Other electronic component manufacturing,USA,America,1.77E-08,3.18E-08
119,Electromedical and electrotherapeutic apparatus manufacturing,USA,America,4.25E-08,5.02E-08
120,"Search, detection, and navigation instruments manufacturing",USA,America,3.13E-09,9.08E-09
121,Automatic environmental control manufacturing,USA,America,1.13E-07,1.28E-07
122,Industrial process variable instruments manufacturing,USA,America,1.21E-08,2.39E-08
123,Totalizing fluid meter and counting device manufacturing,USA,America,6.53E-09,1.28E-08
124,Electricity and signal testing instruments manufacturing,USA,America,5.80E-09,2.07E-08
125,Analytical laboratory instrument manufacturing,USA,America,6.60E-09,1.49E-08
126,Irradiation apparatus manufacturing,USA,America,1.12E-08,2.38E-08
127,"Watch, clock, and other measuring and controlling device manufacturing",USA,America,8.66E-09,1.62E-08
128,Audio and video equipment manufacturing,USA,America,3.35E-08,5.35E-08
129,Manufacturing and reproducing magnetic and optical media,USA,America,4.78E-08,5.83E-08
130,Electric lamp bulb and part manufacturing,USA,America,3.81E-08,5.70E-08
131,Lighting fixture manufacturing,USA,America,2.84E-08,5.30E-08
132,Small electrical appliance manufacturing,USA,America,2.24E-08,4.65E-08
133,Household cooking appliance manufacturing,USA,America,8.78E-09,3.56E-08
134,Household refrigerator and home freezer manufacturing,USA,America,2.28E-08,4.59E-08
135,Household laundry equipment manufacturing,USA,America,2.81E-08,5.55E-08
