Sector number,Name,Unit,Region,DR_WEOH_impact_(DALYper$),TR_WEOH_impact_(DALYper$)
388,Automotive repair and maintenance,USA,America,1.61E-08,3.20E-08
389,Electronic and precision equipment repair and maintenance,USA,America,2.79E-08,3.88E-08
390,Commercial and industrial machinery and equipment repair and maintenance,USA,America,6.00E-09,2.02E-08
391,Personal and household goods repair and maintenance,USA,America,5.06E-08,6.07E-08
392,Personal care services,USA,America,2.47E-08,3.48E-08
393,Death care services,USA,America,3.42E-08,3.89E-08
394,Dry-cleaning and laundry services,USA,America,1.16E-07,1.33E-07
395,Other personal services,USA,America,2.90E-08,4.12E-08
396,Religious organizations,USA,America,4.13E-09,2.82E-08
397,"Grantmaking, giving, and social advocacy organizations",USA,America,4.48E-08,5.68E-08
398,"Civic, social, professional, and similar organizations",USA,America,3.25E-08,4.79E-08
399,Private households,USA,America,1.89E-08,1.89E-08
400,Federal general government (defense),USA,America,1.79E-10,1.08E-08
401,Federal general government (nondefense),USA,America,2.43E-10,7.22E-09
402,Postal service,USA,America,6.35E-09,2.37E-08
403,Other federal government enterprises,USA,America,3.35E-08,5.42E-08
404,Other state and local government enterprises,USA,America,4.21E-08,6.67E-08
